芠代丁(day),代溃(hPa),キ溃(hPa),代程蔼溃(hPa),代程蔼溃丁(LST),代程溃(hPa),代程溃丁(LST),放(),程蔼放(),程蔼放丁(LST),程放(),程放丁(LST),臩翴放(),癸访(%),程癸访(%),程癸访丁(LST),硉(m/s),(360degree),程皚(m/s),程皚(360degree),程皚硉丁(LST),秖(mm),计(hour),程だ牧秖(mm),程だ牧秖癬﹍丁(LST),程せだ牧秖(mm),程せだ牧秖癬﹍丁(LST),ら酚计(hour),ら酚瞯(%),ぱら甮秖(MJ/),ǎ(km),A籡祇秖(mm),ら程蔼档絬计,ら程蔼档絬计丁(LST),羆冻秖(0~10)
18,1010.6,...,1012.5,2021/3/18 07:51,1008.5,2021/3/18 15:53,24.5,30,2021/3/18 14:51,19.8,2021/3/18 06:11,...,76,43,2021/3/18 15:56,1.9,14,8.2,240,2021/3/18 13:34,0,...,...,...,...,...,...,...,...,...,...,...,...,...
19,1010,...,1012.5,2021/3/19 08:03,1007.6,2021/3/19 15:32,24.7,29.7,2021/3/19 13:01,20.1,2021/3/19 05:04,...,74,53,2021/3/19 14:53,1.7,2,7.4,241,2021/3/19 11:22,0,...,...,...,...,...,...,...,...,...,...,...,...,...
20,1008.7,...,1010.3,2021/3/20 09:11,1006.8,2021/3/20 14:31,25.2,29.5,2021/3/20 11:41,21.7,2021/3/20 05:32,...,73,51,2021/3/20 12:01,1.7,6,7.5,225,2021/3/20 12:31,0,...,...,...,...,...,...,...,...,...,...,...,...,...
21,1012,...,1016.6,2021/3/21 23:21,1008.8,2021/3/21 01:04,22.4,28.6,2021/3/21 13:21,16.3,2021/3/21 23:54,...,73,52,2021/3/21 14:11,3.4,2,11.2,346,2021/3/21 19:12,0,...,...,...,...,...,...,...,...,...,...,...,...,...
22,1018.1,...,1020.1,2021/3/22 21:51,1015.7,2021/3/22 02:41,16.9,18.7,2021/3/22 11:41,15.3,2021/3/22 22:43,...,72,62,2021/3/22 09:01,2.7,5,10.9,13,2021/3/22 04:33,0,...,...,...,...,...,...,...,...,...,...,...,...,...
23,1016.8,...,1019.3,2021/3/23 00:01,1014.1,2021/3/23 15:20,19.7,24.8,2021/3/23 15:11,15.5,2021/3/23 00:08,...,72,52,2021/3/23 14:57,1.8,2,6.6,285,2021/3/23 14:04,0,...,...,...,...,...,...,...,...,...,...,...,...,...
24,1013.6,...,1016.2,2021/3/24 09:33,1011.1,2021/3/24 17:03,19.8,23.1,2021/3/24 16:01,18,2021/3/24 07:01,...,84,67,2021/3/24 16:35,2.7,4,12.7,352,2021/3/24 14:17,1,...,...,...,...,...,...,...,...,...,...,...,...,...
25,1013.6,...,1017.2,2021/3/25 09:33,1012.1,2021/3/25 17:03,21.2,24.1,2021/3/25 16:01,19,2021/3/25 07:01,...,66,68,2021/3/25 16:35,2.2,9,12.7,352,2021/3/25 14:17,0,...,...,...,...,...,...,...,...,...,...,...,...,...
26,1012.5,...,1015.1,2021/3/26 08:11,1009.7,2021/3/26 16:31,23.1,29.5,2021/3/26 14:45,17.8,2021/3/26 05:49,...,70,42,2021/3/26 12:31,1.9,2,9.6,305,2021/3/26 13:40,0,...,...,...,...,...,...,...,...,...,...,...,...,...
27,1009.7,...,1012.1,2021/3/27 08:01,1006.7,2021/3/27 15:41,25,29.7,2021/3/27 13:41,21.5,2021/3/27 05:01,...,73,49,2021/3/27 13:41,1.3,252,7.9,307,2021/3/27 13:12,0,...,...,...,...,...,...,...,...,...,...,...,...,...
28,1006.9,...,1009,2021/3/28 00:01,1004.7,2021/3/28 15:13,26.1,30,2021/3/28 11:34,23.5,2021/3/28 04:26,...,77,63,2021/3/28 10:21,1.4,273,8.6,296,2021/3/28 15:21,0,...,...,...,...,...,...,...,...,...,...,...,...,...
29,1006.1,...,1008,2021/3/29 08:01,1003.7,2021/3/29 15:35,25.8,29.2,2021/3/29 13:12,22.8,2021/3/29 05:13,...,81,64,2021/3/29 11:08,1.7,260,7.8,246,2021/3/29 13:59,0,...,...,...,...,...,...,...,...,...,...,...,...,...
30,1005.2,...,1006.6,2021/3/30 09:21,1003.7,2021/3/30 14:47,26.6,29.6,2021/3/30 11:23,24.6,2021/3/30 04:16,...,83,68,2021/3/30 12:01,1.4,247,8.8,226,2021/3/30 12:21,0,...,...,...,...,...,...,...,...,...,...,...,...,...
31,1005.5,...,1007.1,2021/3/31 08:32,1004,2021/3/31 15:33,26.8,30.6,2021/3/31 12:41,23.8,2021/3/31 04:42,...,81,62,2021/3/31 12:36,1.7,10,7.5,285,2021/3/31 15:10,0,...,...,...,...,...,...,...,...,...,...,...,...,...
